building_id,B1,B2,B3
300051,0.0014471498,0.17919397,0.8193589
99355,8.517167e-05,0.9997466,0.00016821345
890251,0.0007944693,0.0085918475,0.9906137
745817,0.64644724,0.35305277,0.00049998966
421793,0.00028602558,0.17012785,0.8295861
871976,0.0016973269,0.811242,0.18706071
691228,0.39058787,0.6044298,0.004982379
896100,1.4817488e-05,0.00015213997,0.999833
343471,0.0003273971,0.8200277,0.17964487
766647,0.041688554,0.8395127,0.118798785
800548,0.01747071,0.9792366,0.0032926274
652685,0.050828684,0.5353907,0.41378066
590834,0.025541577,0.7134055,0.26105294
612530,0.0006972866,0.39353606,0.6057667
535718,0.12121367,0.8752744,0.0035119553
269418,0.00063025876,0.81602156,0.18334818
281421,0.08964876,0.708995,0.20135626
797571,0.00021600942,0.7844232,0.21536078
216579,0.0040463153,0.8576918,0.13826184
81554,0.21629222,0.6590453,0.12466245
132785,0.0004513495,0.9443435,0.055205192
976125,0.0002341574,0.35993975,0.63982606
851237,0.004044847,0.3522776,0.64367753
322922,0.0004028955,0.37961894,0.61997813
786774,0.07762994,0.90833604,0.014033983
922680,0.003943164,0.5211449,0.47491193
134349,0.3937553,0.14892241,0.45732236
551456,0.00013032132,0.63088256,0.36898717
194812,0.0019172584,0.9889953,0.009087448
520031,0.0004033959,0.2567362,0.7428604
765502,0.0022923176,0.21172693,0.7859807
517764,0.5402134,0.40709043,0.05269621
174470,0.00074819,0.9391125,0.060139373
395012,0.00043449525,0.94574344,0.053822044
159776,0.014949116,0.4587755,0.5262754
62638,0.0029244302,0.6260769,0.37099868
65760,0.049727935,0.6897116,0.2605605
761527,0.006961517,0.9588418,0.034196604
37201,0.74015266,0.25694916,0.0028981806
853163,0.004329667,0.6572886,0.33838168
562505,0.004944784,0.9785371,0.01651816
349010,0.000270544,0.36040106,0.6393284
780817,0.1439125,0.7683173,0.08777024
179897,0.33544287,0.5527601,0.11179702
845103,0.0004943369,0.550156,0.44934967
171560,0.018979201,0.17148386,0.80953693
586661,0.0004464658,0.92396927,0.07558429
84102,0.056778982,0.94023126,0.002989746
610806,0.012875436,0.39027432,0.5968503
269531,0.00026680154,0.8656427,0.13409041
3781,6.817066e-05,0.80545294,0.1944789
127674,0.0019730583,0.58904225,0.40898463
820462,0.004166847,0.87776035,0.11807282
955190,0.009046273,0.6349407,0.35601303
405557,0.1384486,0.7751726,0.086378746
143219,0.0013033592,0.3685006,0.6301961
360041,0.53558487,0.45068806,0.013727032
378036,0.0010744545,0.9635786,0.035346903
613583,0.0015320332,0.24062799,0.75784
992040,8.760658e-05,0.43836975,0.56154263
849585,0.0009264781,0.9953134,0.0037600456
491236,8.2368155e-05,0.020421632,0.97949594
