building_id,A1,A2,A3
300051,0.0007800161,0.3317644,0.6674556
99355,0.00036989024,0.9188806,0.08074948
890251,0.0024692172,0.68870467,0.30882615
745817,0.61014074,0.38960487,0.00025437176
421793,0.0010140908,0.28338772,0.71559817
871976,0.02701036,0.8055419,0.16744776
691228,0.71654665,0.27846175,0.004991622
896100,0.00029606005,0.0203408,0.9793632
343471,0.02332341,0.7882534,0.18842316
766647,0.06660007,0.8453813,0.088018656
800548,0.037949845,0.9584597,0.003590409
652685,0.0045429566,0.7821071,0.21334994
590834,0.0055326936,0.6499518,0.34451547
612530,6.8191584e-05,0.75526714,0.24466465
535718,0.13820069,0.86078656,0.0010127514
269418,0.015539102,0.8753856,0.10907536
281421,0.003908017,0.9201744,0.075917624
797571,0.0011114128,0.8061321,0.19275649
216579,0.0416675,0.93043184,0.027900666
81554,0.40496537,0.58231366,0.012720974
132785,0.00018977224,0.92677003,0.0730402
976125,0.0010009082,0.29747653,0.7015226
851237,0.011322396,0.1768786,0.811799
322922,0.0005324376,0.49158713,0.5078804
786774,0.007696774,0.9911874,0.0011158984
922680,0.0009460938,0.5318617,0.4671922
134349,0.17839587,0.0492743,0.7723298
551456,0.00027790945,0.79693204,0.20278999
194812,0.013489855,0.98099387,0.005516296
520031,0.0012573523,0.45509407,0.5436486
765502,0.0010119859,0.059823047,0.93916494
517764,0.7607063,0.20480561,0.03448808
174470,0.00096432184,0.835425,0.16361059
395012,0.015184997,0.9210945,0.06372054
159776,0.012617972,0.6242734,0.36310858
62638,0.0002755938,0.70276994,0.29695442
65760,0.007853548,0.8554591,0.13668731
761527,0.016921517,0.9121217,0.070956774
37201,0.19008291,0.78123933,0.028677791
853163,0.012074391,0.76487744,0.22304823
562505,0.0076354914,0.9771961,0.015168452
349010,0.00035225356,0.3002636,0.6993841
780817,0.0363852,0.9188673,0.044747435
179897,0.18084012,0.7697896,0.049370248
845103,0.004647937,0.47299314,0.5223589
171560,0.0076639694,0.02784487,0.9644912
586661,0.0021431698,0.866744,0.13111289
84102,0.012773801,0.97910666,0.008119576
610806,0.0029906877,0.22688122,0.7701281
269531,0.004512247,0.8427219,0.15276581
3781,1.9493882e-05,0.93575287,0.06422764
127674,0.00031178247,0.20355333,0.7961349
820462,0.0005197241,0.94822544,0.051254846
955190,0.0056469357,0.7946137,0.1997394
405557,0.17469753,0.7995166,0.02578591
143219,0.01249013,0.27563024,0.7118797
360041,0.7447515,0.24876486,0.006483633
378036,0.0038508668,0.95947397,0.036675185
613583,0.004228061,0.24396648,0.7518055
